Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Other,2020-01-29 09:26:09,false,"Other","0.00","--","00:35:02","--","--","--","118","123","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Other,2020-01-28 08:57:00,false,"Other","0.00","--","00:36:21","--","--","--","136","155","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","04:22.94","3","0.0"
Running,2020-01-24 18:55:15,false,"Running","2.55","175","00:12:54","--","--","--","174","187","5:03","3:44","--","--","1.14","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-01-24 11:09:46,false,"Running","1.51","103","00:07:46.1","--","--","--","178","193","5:09","4:31","--","--","1.09","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-01-21 10:07:25,false,"Saanich Running","3.51","240","00:17:15","--","--","--","184","191","4:55","4:04","47","30","1.11","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-01-21 09:03:30,false,"Saanich Running","7.43","478","00:40:41","--","--","--","184","213","5:29","2:44","46","46","0.98","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:12.12","19","0.0"
Running,2020-01-19 09:14:14,false,"Saanich Running","14.54","997","01:13:07","--","--","--","181","197","5:02","4:09","75","73","1.10","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-01-18 09:22:08,false,"Saanich Running","15.88","1,072","01:16:36","--","--","--","183","206","4:50","2:59","152","152","1.13","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:30.29","22","0.0"
Treadmill Running,2020-01-14 08:35:43,false,"Treadmill Running","4.05","277","00:20:04","--","--","--","184","194","4:58","3:49","--","--","1.10","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-01-12 12:14:43,false,"North Saanich Running","5.83","398","00:31:37","--","--","--","181","197","5:25","4:33","40","40","1.02","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","14:42.88","2","0.0"
